Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical","Serious,Critical/1M pop",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Active case/1M pop,WHO Region
Kazakhstan,Asia,18798667,95942,,1058,,68871,,26013,221,12,5104,56,2163713,115099,1384,Europe
Zambia,Africa,18430129,7164,,199,,5786,,1179,,0,389,11,90307,4900,64,Africa
Guatemala,North America,17946899,54339,,2119,,42070,,10150,5,0,3028,118,172712,9624,566,Americas
Ecuador,South America,17668824,90537,,5877,,71318,,13342,378,21,5124,333,258582,14635,755,Americas
Syria,Asia,17539600,999,,48,,311,,640,,0,57,3,,,36,EasternMediterranean
Netherlands,Europe,17138756,56982,,6153,,,,,37,2,3325,359,1079860,63007,0,Europe
Senegal,Africa,16783877,10715,,223,,7101,,3391,33,2,638,13,114761,6838,202,Africa
Cambodia,Asia,16741375,243,,,,210,,33,1,0,15,,67807,4050,2,WesternPacific
Chad,Africa,16467965,942,,76,,838,,28,,0,57,5,,,2,Africa
Somalia,Africa,15933012,3227,,93,,1728,,1406,2,0,203,6,,,88,EasternMediterranean
Zimbabwe,Africa,14883803,4339,,84,,1264,,2991,,0,292,6,140421,9434,201,Africa
Guinea,Africa,13164905,7664,,49,,6757,,858,24,2,582,4,14407,1094,65,Africa
Rwanda,Africa,12981546,2111,,5,,1258,,848,,0,163,0.4,286251,22051,65,Africa
Benin,Africa,12151976,1936,,38,,1600,,298,1,0,159,3,93677,7709,25,Africa
Burundi,Africa,11922216,395,,1,,304,,90,,0,33,0.08,15614,1310,8,Africa
Tunisia,Africa,11830801,1642,,51,,1241,,350,9,1,139,4,100298,8478,30,EasternMediterranean
Bolivia,South America,11688459,86423,1282,3465,80,27373,936,55585,71,6,7394,296,183583,15706,4756,Americas
Belgium,Europe,11594739,71158,,9859,,17661,,43638,61,5,6137,850,1767120,152407,3764,Europe
Haiti,North America,11416103,7544,,171,,4832,,2541,,0,661,15,18443,1616,223,Americas
Cuba,North America,11325899,2775,,88,,2409,,278,4,0,245,8,285471,25205,25,Americas
South Sudan,Africa,11206572,2450,,47,,1175,,1228,,0,219,4,12044,1075,110,Africa
Dominican Republic,North America,10858648,76536,,1246,,40539,,34751,317,29,7048,115,281926,25963,3200,Americas
Czechia,Europe,10711019,17731,,390,,12320,,5021,17,2,1655,36,728670,68030,469,Europe
Greece,Europe,10417673,5123,,210,,1374,,3539,14,1,492,20,619393,59456,340,Europe
Jordan,Asia,10213138,1232,,11,,1171,,50,3,0,121,1,628745,61562,5,EasternMediterranean
Portugal,Europe,10193593,52061,,1743,,37840,,12478,42,4,5107,171,1705474,167308,1224,Europe
Azerbaijan,Asia,10148243,33247,,479,,29275,,3493,66,7,3276,47,766179,75499,344,Europe
